Mountain,Route,Mileage,Elevation,Route Time
"Group: Belford, Oxford","Standard up, Elkhead Pass Down",11.00 mi,5800',29400
Huron Peak,Southwest Slopes,7.75 mi,3550',14400
Mt. Massive,East Slopes,13.75 mi,4500',30600
Mt. Bierstadt,West Slopes,7.00 mi,2850',11700
Mt. Bierstadt,West Slopes,7.00 mi,2850',12600
Redcloud Peak,Northeast Ridge,9.00 mi,3700',8220
Mt. Bierstadt,West Slopes,7.00 mi,-,19800
Little Bear Peak,Southwest Ridge,9.60 mi,6000',48600
Quandary Peak,East Ridge,6.75 mi,3450',17100
Mt. Evans,West Ridge from Summit Lake,8.00 mi,-,28800
Mt. Bierstadt,West Slopes,7.04 mi,-,18060
Pikes Peak,Northwest Slopes,13.25 mi,4300',37800
Humboldt Peak,East Ridge,8.00 mi,4300',13500
Mt. Sneffels,South Slopes,6.00 mi,2900',25200
Mt. Belford,Northwest Ridge,8.00 mi,4500',28800
Mt. Yale,Southwest Slopes,8.60 mi,4299',28320
"Group: Shavano, Tabeguache","Shavano East Slopes, Tabeguache East Ridge",10.50 mi,5413',34500
"Group: Belford, Oxford","Belford Northwest Ridge, Oxford West Ridge",9.80 mi,5967',36000
Humboldt Peak,West Ridge,12.20 mi,4254',38400
Longs Peak,Keyhole Route,14.40 mi,5255',44100
"Group: Grays, Torreys","Grays North Slopes, Torreys South Slopes",13.00 mi,4270',20700
Quandary Peak,East Ridge,5.60 mi,3325',15300
La Plata Peak,Northwest Ridge,8.60 mi,4376',44400
Longs Peak,Keyhole Route,14.00 mi,5100',20400
Mt. Sherman,Southwest Ridge,8.00 mi,3200',16200
Quandary Peak,East Ridge,6.60 mi,3450',23580
Mt. Elbert,East Ridge,8.18 mi,4100',22860
Longs Peak,long3,12.50 mi,5200',40800
Quandary Peak,East Ridge,6.75 mi,3450',23400
Pikes Peak,Barr Trail PPA,13.32 mi,7815',13453
Mt. Belford,Northwest Ridge,8.00 mi,4600',17820
Mt. Elbert,Southeast Ridge,10.90 mi,5452',27013
Quandary Peak,East Ridge,5.50 mi,3000',518400
Mt. Bierstadt,West Slopes,7.00 mi,2850',17100
Mt. Sherman,Southwest Ridge,5.25 mi,2100',15300
Mt. Shavano,East Slopes,9.25 mi,4600',28800
Mt. Yale,East Ridge,10.00 mi,5000',20796
Mt. Princeton,East Slopes,7.00 mi,3400',12360
Mt. Yale,East Ridge,10.50 mi,5000',30600
Mt. Evans,West Ridge from Guanella Pass,5.50 mi,2000',18000
Huron Peak,Northwest Slopes,6.75 mi,3500',16200
Quandary Peak,East Ridge,6.75 mi,3450',20700
Quandary Peak,East Ridge,6.75 mi,3450',18900
Quandary Peak,East Ridge,6.75 mi,3450',16928
"Group: Blanca, Ellingwood",Standard Routes,14.67 mi,6591',33090
Mt. Princeton,East Slopes,-,-,12240
Mt. Elbert,Northeast Ridge,9.00 mi,4500',13500
Mt. Princeton,East Slopes,-,2500',18000
Mt. Evans,West Ridge from Echo Lake,8.50 mi,3100',28200
Quandary Peak,east ridge ,-,-,18000
Pikes Peak,Northwest Slopes,14.00 mi,4300',25200
Mt. Sherman,Southwest Ridge,6.00 mi,3000',6000
Mt. Bierstadt,West Slopes,7.25 mi,2850',13500
"Group: Redcloud, Sunshine",silver creek,12.00 mi,4800',36000
Humboldt Peak,West Ridge,12.25 mi,4200',18180
Quandary Peak,East Ridge,6.75 mi,-,13200
Pikes Peak,Northwest Slopes,13.70 mi,5161',17160
La Plata Peak,Northwest Ridge,9.50 mi,4500',22800
La Plata Peak,Northwest Ridge,10.00 mi,4800',21600
"Ridge Traverse: Little Bear, Blanca",LB-B Traverse,13.00 mi,5300',61200
Mt. Evans,West Ridge from Echo Lake,10.62 mi,3331',29719
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',25200
Mt. Democrat,East Slope,4.00 mi,2150',13800
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',604800
Mt. Sherman,Southwest Ridge,5.25 mi,2100',11100
La Plata Peak,Northwest Ridge,12.85 mi,5450',27300
"Group: Evans, Sawtooth, Bierstadt",Standard Combo,10.65 mi,3900',28200
Grays Peak,Stevens Gulch,8.25 mi,3000',18900
"Group: Challenger, Kit Carson",Kit Carson from Challenger North Slopes,14.00 mi,6250',34560
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',22800
"Group: Grays, Torreys",Torreys Kelso Ridge - Grays North Slopes ,8.10 mi,3560',20700
Longs Peak,Keyhole Route,14.00 mi,5100',43200
Mt. Princeton,East Slopes,13.00 mi,5400',24600
"Group: Shavano, Tabeguache",Standard,11.25 mi,5600',25200
Pikes Peak,Northwest Slopes,14.40 mi,4300',36000
"Group: Grays, Torreys",Standard,8.25 mi,3600',14400
Quandary Peak,East Ridge,6.80 mi,3332',24600
"Group: Democrat, Cameron, Lincoln, Bross",Standard Combo,7.25 mi,3700',20700
Mt. Antero,West Slopes,15.00 mi,5200',22200
Pikes Peak,Northwest Slopes,13.25 mi,4300',22500
Quandary Peak,East Ridge,6.75 mi,3450',18000
Mt. Evans,West Ridge from Guanella Pass,5.50 mi,2000',14400
"Group: Grays, Torreys",Standard Combo,8.25 mi,3700',25200
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.25 mi,3700',19200
Mt. Lindsey,Northwest Gully,8.25 mi,3500',24720
Huron Peak,Northwest Slopes,6.70 mi,3500',15600
Mt. Bierstadt,West Slopes,7.00 mi,2850',13500
Wetterhorn Peak,Southeast Ridge,-,3300',21600
Mt. Yale,Southwest Slopes,9.50 mi,4300',29400
"Group: Shavano, Tabeguache",standard,10.00 mi,4500',46800
Mt. Shavano,East Slopes,9.25 mi,4700',23400
"Group: Democrat, Cameron, Lincoln, Bross",Decabron,7.50 mi,3700',18900
Mt. Massive,Southwest Slopes,8.00 mi,4000',14400
Mt. Antero,West Slopes,15.00 mi,5200',28800
Mt. Harvard,South Slopes,13.50 mi,4600',27660
"Group: Belford, Oxford, Missouri",Standard,14.70 mi,7300',28800
"Group: Castle, Conundrum",Standard,14.50 mi,4850',13500
"Group: Democrat, Cameron, Lincoln, Bross",Standard,7.25 mi,3700',16800
"Group: Shavano, Tabeguache",Tabeguache Peak - Via Mt. Shavano (Standard) ,11.25 mi,5600',21600
Mt. of the Holy Cross,North Ridge,11.50 mi,5525',27002
Torreys Peak,South Slopes,7.50 mi,3000',374400
Pikes Peak,crags,12.00 mi,3959',38400
Mt. Elbert,south halfmoon creek,7.00 mi,4103',32400
Handies Peak,Southwest Slopes,5.50 mi,2500',18420
Mt. Princeton,merriam creek,6.00 mi,3377',25620
Quandary Peak,East Ridge,6.00 mi,3365',22200
Mt. Sherman,Southwest Ridge,8.00 mi,2786',19440
"Group: Democrat, Cameron, Lincoln, Bross",kite lake,7.50 mi,3540',24600
"Group: Blanca, Ellingwood",Zapata Creek Trailhead,13.00 mi,-,47400
"Group: Shavano, Tabeguache",Tabeguache Peak - Via Mt. Shavano,11.25 mi,5600',25200
Pikes Peak,Barr Trail,13.00 mi,7400',25500
Uncompahgre Peak,South Ridge from Matterhorn Creek TH,12.80 mi,3980',30060
Mt. Sherman,Southwest Ridge,5.25 mi,2100',259200
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',604800
"Group: Belford, Oxford, Missouri",MoBoTox,20.00 mi,8500',36900
Grays Peak,South Slope Standard,8.00 mi,3000',16800
Wetterhorn Peak,Southeast Ridge,7.00 mi,3300',20400
Wilson Peak,Southwest Ridge,9.25 mi,3800',15600
Mt. Lindsey,Northwest Gully,8.25 mi,3500',24300
Grays Peak,Grays and Torreys,9.00 mi,3600',20700
Mt. Yale,Southwest Slopes,9.50 mi,4300',22800
Mt. Bierstadt,West Slopes,7.36 mi,2852',10320
Longs Peak,Loft Route,14.00 mi,5300',31200
Uncompahgre Peak,South Ridge,7.50 mi,3000',21600
"Group: Harvard, Columbia",Harvard Columbia traverse,-,-,43200
Pikes Peak,pike2,13.00 mi,7500',28800
Pikes Peak,Ups Crags/ down Barr,19.63 mi,4300',46800
La Plata Peak,Southwest Ridge,7.00 mi,3380',28800
Mt. Antero,West Slopes,7.95 mi,3420',14280
Mt. Yale,Southwest Slopes,10.00 mi,4300',32400
Pikes Peak,Northwest Slopes,13.00 mi,4200',25200
Humboldt Peak,West Ridge,12.00 mi,4160',35100
"Group: Grays, Torreys",Kelso Ridge,7.15 mi,3100',15625
"Group: Belford, Oxford",Northwest Ridge,11.00 mi,5850',20280
Humboldt Peak,West Ridge,13.25 mi,4200',32400
Pikes Peak,Northwest Slopes,25.00 mi,7800',38700
Mt. Lindsey,Northwest Gully,8.25 mi,3500',19800
Handies Peak,East Slopes,7.60 mi,3650',13800
La Plata Peak,Southwest Ridge,7.00 mi,3380',27000
Mt. of the Holy Cross,Halo Ridge,15.00 mi,5600',25200
"Group: Democrat, Cameron, Lincoln, Bross",decalibron,7.30 mi,3700',10020
Mt. Shavano,East Slopes,9.25 mi,4600',28800
Pyramid Peak,Northeast Ridge,8.00 mi,4500',28800
Maroon Peak,South Ridge,12.00 mi,4600',36000
North Maroon Peak,Northeast Ridge,9.25 mi,4500',33900
Humboldt Peak,West Ridge,6.00 mi,3064',13500
Mt. Evans,West Ridge from Guanella Pass,8.00 mi,3100',19800
Mt. Columbia,West Slopes,11.50 mi,4250',27420
Blanca Peak,Northwest Ridge,5.00 mi,2645',18000
San Luis Peak,Northeast Ridge,13.00 mi,3600',18300
Mt. Evans,West Ridge from Echo Lake,8.50 mi,3180',28560
Mt. Massive,East Slopes,13.92 mi,4824',30900
"Group: Shavano, Tabeguache",Standard,11.25 mi,5600',24120
"Group: Evans, Sawtooth, Bierstadt",standard,10.25 mi,3900',27900
Longs Peak,Loft Route,-,4900',50400
Quandary Peak,East Ridge,6.75 mi,3370',12000
La Plata Peak,Northwest Ridge,-,-,572400
Mt. Elbert,Northeast Ridge,9.00 mi,4600',20580
Mt. Yale,Southwest Slopes,9.50 mi,-,24300
Huron Peak,Northwest Slopes,6.75 mi,3500',12240
"Group: Challenger, Kit Carson",Kit Carson North Slopes to Challenger,11.40 mi,5300',32100
Mt. Massive,Southwest Slopes,6.20 mi,3960',10500
Mt. Princeton,East Slopes,6.25 mi,3200',21600
Huron Peak,Northwest Slopes,7.30 mi,4100',17700
"Group: Harvard, Columbia",Harvard and Columbia Traverse,15.00 mi,6100',32400
San Luis Peak,Northeast Ridge,12.00 mi,3600',19800
Wetterhorn Peak,Southeast Ridge,8.00 mi,3600',19800
Mt. Bierstadt,West Slopes,7.20 mi,2844',7358
Quandary Peak,East Ridge,6.75 mi,3450',13260
"Group: Belford, Oxford",Belford-Oxford Standard,11.00 mi,5000',27420
Longs Peak,Keyhole Route,14.00 mi,5100',29160
Mt. of the Holy Cross,Halo Ridge,15.00 mi,5420',28500
Castle Peak,Northeast Ridge,6.50 mi,3100',12720
Pikes Peak,pike2,26.00 mi,7600',45000
"Group: Democrat, Cameron, Lincoln, Bross",lincoln group,8.20 mi,4000',22920
Mt. Bierstadt,West Slopes,7.00 mi,2850',15900
"Group: Grays, Torreys",Grays/Torreys,8.25 mi,3600',18000
Mt. Columbia,West Slopes,10.00 mi,4000',777600
Longs Peak,Keyhole Route,14.77 mi,5575',39900
Mt. Bierstadt,West Slopes,7.78 mi,2791',13920
Mt. Sherman,Southwest Ridge,4.50 mi,1718',8160
Little Bear Peak,litt1,2.50 mi,2300',12600
Handies Peak,Southwest Slopes,5.50 mi,2500',7800
"Group: Grays, Torreys",Grays and Torreys,8.25 mi,3600',572400
Mt. Massive,East Slopes,14.00 mi,4500',34200
Longs Peak,Keyhole Route,15.00 mi,5100',45000
Longs Peak,Keyhole Route,15.00 mi,4850',46800
Mt. Elbert,Southeast Ridge,8.00 mi,4100',27000
Grays Peak,North Slopes,13.63 mi,4587',14015
Mt. Belford,Northwest Ridge,8.00 mi,4800',25200
Mt. Massive,East Slopes,13.75 mi,4500',20700
"Group: Evans, Sawtooth, Bierstadt",Mt. Bierstadt,5.50 mi,-,12000
Longs Peak,Keyhole Route,15.00 mi,4985',47400
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',604800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',28800
Mt. Eolus,Northeast Ridge,11.50 mi,3083',23880
Mt. Massive,East Slopes,13.75 mi,-,26100
Pikes Peak,pike2,26.00 mi,-,36000
Mt. Bierstadt,West Slopes,-,-,13500
Mt. Massive,East Slopes,13.75 mi,4500',14880
Pyramid Peak,Northeast Ridge,8.00 mi,4500',24000
Grays Peak,North Slopes,7.50 mi,3000',17100
San Luis Peak,South Ridge,11.00 mi,3700',19800
Quandary Peak,West Ridge,2.00 mi,-,14400
Mt. Elbert,South Elbert to Elbert from S. Elbert 4WD TH,9.48 mi,4523',21720
Mt. Sherman,West Slopes from Iowa Gulch,4.50 mi,2150',17700
Mt. of the Holy Cross,North Ridge,11.47 mi,5924',29957
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',14280
"Group: Shavano, Tabeguache",Shavano - Tab - Shav,11.25 mi,5600',28860
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.00 mi,3700',7398
Mt. Lindsey,Northwest Gully,8.25 mi,3500',27000
"Group: Challenger, Kit Carson, Crestones, Humboldt",Crestone Five Peaks,18.00 mi,9500',33420
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',24660
Longs Peak,long3,-,-,19200
Mt. Lindsey,Northwest Ridge,8.25 mi,3500',22200
Pyramid Peak,Northeast Ridge,8.00 mi,4500',25200
Pikes Peak,Northwest Slopes,14.00 mi,4300',31620
"Group: Democrat, Cameron, Lincoln, Bross",Standard from Kite Lake,7.50 mi,3700',18900
Mt. Massive,Standard - Halfmoon,13.75 mi,4500',14820
Huron Peak,Northwest Slopes,6.75 mi,3500',19800
"Group: Shavano, Tabeguache",East Slopes,11.25 mi,5600',24300
Mt. Sherman,Southwest Ridge,-,-,18900
"Group: Belford, Oxford",missouri gulch,9.00 mi,6000',28980
Mt. Massive,East Slopes,13.75 mi,4500',24300
"Group: Democrat, Cameron, Lincoln, Bross",minus Democrat,6.20 mi,3200',29220
Grays Peak,Grays and Torreys,8.24 mi,3750',21365
Mt. Massive,Southwest Slopes,7.86 mi,3815',20344
"Group: Redcloud, Sunshine",northeast ridge,12.56 mi,4744',29640
La Plata Peak,Southwest Ridge,7.00 mi,3380',21600
Castle Peak,Northeast Ridge,8.00 mi,3000',23077
"Group: Blanca, Ellingwood",Blanca/Ellingwood,16.50 mi,6900',37800
Huron Peak,Northwest Slopes,6.75 mi,3500',18000
North Maroon Peak,Northeast Ridge,7.50 mi,4400',28620
Mt. Massive,East Slopes,14.00 mi,4500',42900
Longs Peak,Keyhole Route,15.00 mi,-,30600
Torreys Peak,Kelso Ridge,6.75 mi,3100',16200
"Group: Grays, Torreys",standard,8.25 mi,3600',30060
Mt. Princeton,East Slopes,9.00 mi,4000',21600
Huron Peak,Northwest Slopes,6.75 mi,3500',16200
"Group: Grays, Torreys",Grays,8.25 mi,3600',21600
Mt. Yale,Southwest Slopes,9.72 mi,4300',16457
Uncompahgre Peak,South Ridge,7.25 mi,3000',17400
"Group: Grays, Torreys",Kelso Ridge,7.50 mi,3600',12600
Longs Peak,Loft Route,13.00 mi,5300',30660
Quandary Peak,East Ridge,6.40 mi,3450',15900
Quandary Peak,East Ridge,6.75 mi,3450',18900
Mt. Bierstadt,West Slopes,7.00 mi,2850',15300
Grays Peak,North Slopes,7.50 mi,3000',19800
Mt. Bierstadt,West Slopes,7.00 mi,2850',14400
Huron Peak,Northwest Slopes,6.75 mi,3500',7636
Culebra Peak,Northwest Ridge,4.90 mi,2800',399600
Pikes Peak,Northwest Slopes,13.50 mi,4300',26100
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake TH,7.25 mi,3700',13380
Mt. Elbert,Northeast Ridge,9.00 mi,4700',27000
Mt. Bierstadt,West Slopes,7.00 mi,2850',18000
"Group: Grays, Torreys",Grays and Torreys,8.50 mi,3600',19800
Mt. Elbert,East Ridge,8.50 mi,4100',22800
Mt. Sherman,Southwest Ridge,5.84 mi,2817',16980
Longs Peak,Loft Route,13.00 mi,5300',32220
Mt. Massive,Southwest Slopes,8.00 mi,3950',14100
Mt. Bierstadt,West Slopes,7.00 mi,2850',7680
Mt. Sherman,Southwest Ridge,5.50 mi,2100',12300
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron Loop,7.70 mi,3700',21780
Mt. Bierstadt,West Slopes,7.00 mi,2850',20040
Maroon Peak,South Ridge,4.90 mi,4400',33300
Mt. Princeton,East Slopes,6.50 mi,5297',20100
"Group: Maroon, North Maroon",Standard Traverse (S to N),-,4300',28800
Quandary Peak,East Ridge,6.75 mi,3450',25606
Mt. Sherman,Southwest Ridge,5.25 mi,2100',8400
Quandary Peak,East Ridge,6.75 mi,3450',11700
"Group: Democrat, Cameron, Lincoln, Bross",Standard,7.25 mi,3700',18900
Mt. Yale,Southwest Slopes,9.50 mi,4300',25200
Mt. of the Holy Cross,Halo Ridge,13.00 mi,5400',27266
Quandary Peak,East Ridge,7.00 mi,3600',14100
Handies Peak,Southwest Slopes,5.50 mi,2500',10800
Pikes Peak,Northwest Slopes,15.25 mi,4400',28800
Pyramid Peak,Northeast Ridge,8.00 mi,4500',14624
Mt. Bierstadt,West Slopes,7.27 mi,2772',16703
Longs Peak,Keyhole Route,15.00 mi,4854',105300
Mt. Sherman,Southwest Ridge,3.50 mi,2600',6720
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',18000
Mt. Antero,West Slopes,14.00 mi,4900',17580
Mt. Yale,Southwest Slopes,8.00 mi,6000',21540
Mt. Elbert,East Ridge,12.00 mi,4900',24300
La Plata Peak,Northwest Ridge,9.86 mi,4600',27900
Huron Peak,Northwest Slopes,11.00 mi,3800',17220
"Group: Grays, Torreys",east slopes,8.00 mi,14270',32400
Tabeguache Peak,Southwest Ridge (CLOSED),6.00 mi,3700',19680
Mt. Bierstadt,West Slopes,7.00 mi,2850',18000
Longs Peak,Keyhole Route,14.00 mi,5100',38100
Pikes Peak,Northwest Slopes,13.50 mi,4300',48600
Mt. Bierstadt,West Slopes,-,-,14400
Mt. Elbert,East Ridge,-,-,432000
"Group: Redcloud, Sunshine, Handies","Redcloud & Sunshine via Silver Creek, Handies 2WD American Basin",20.00 mi,8300',32280
"Group: Uncompahgre, Wetterhorn",Unc to Wett via Matterhorn 2WD TH ,17.50 mi,5700',29940
Mt. Sherman,Southwest Ridge,5.25 mi,2500',14400
Torreys Peak,South Slopes,8.25 mi,3450',25140
Mt. Elbert,East Ridge,8.00 mi,4100',25200
"Group: Evans, Sawtooth, Bierstadt",Standard Bierstadt-Sawtooth-Evans ,10.00 mi,3200',29100
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',20100
Snowmass Mountain,West Slope,9.00 mi,4500',20100
"Group: Evans, Sawtooth, Bierstadt","Bierstadt, Sawtooth, Evans",10.25 mi,3900',22500
"Group: Grays, Torreys",Kelso Ridge,8.25 mi,3600',16200
"Group: Grays, Torreys",Kelso Ridge,8.25 mi,3600',16200
Mt. Bierstadt,West Slopes,7.10 mi,2850',19440
Maroon Peak,South Ridge,12.00 mi,4800',37800
Windom Peak,West Ridge,6.00 mi,3100',28800
Sunlight Peak,South Face,6.00 mi,3100',28800
Mt. Eolus,Chicago Basin Approach,5.50 mi,3200',21600
North Eolus,South Ridge,5.50 mi,3200',21600
Group: Wilson Group (3 named 14ers),El Diente & Mt Wilson from ROA TH,12.50 mi,5500',43800
"Ridge Traverse: El Diente, Mt. Wilson",Traverse,1.00 mi,500',8400
"Group: Grays, Torreys",Kelso Ridge with descent of Grays East Slopes,8.25 mi,3600',18000
Quandary Peak,East Ridge,6.75 mi,3450',12240
Mt. Bierstadt,West Slopes,7.37 mi,2807',10900
Mt. Princeton,East Slopes,6.50 mi,3397',10680
Torreys Peak,Kelso Ridge,7.51 mi,3700',21000
Mt. Lindsey,Northwest Ridge,8.02 mi,3800',24600
"Group: Shavano, Tabeguache",shav +tab from blank creek,11.25 mi,5400',25800
Mt. Massive,Southwest Slopes,8.00 mi,3950',14400
Huron Peak,Northwest Slopes,6.75 mi,3500',10800
Mt. Bierstadt,West Slopes,7.00 mi,2850',7560
North Maroon Peak,Northeast Ridge,9.25 mi,4500',28800
Maroon Peak,South Ridge,12.00 mi,4800',41400
Mt. Evans,Ascent,14.35 mi,3563',33
Mt. Elbert,Northeast Ridge,9.75 mi,4755',28445
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.40 mi,3501',19424
"Group: Evans, Sawtooth, Bierstadt",Sawtooth,10.25 mi,-,19800
"Group: Democrat, Cameron, Lincoln, Bross",Standard,7.50 mi,2000',26400
Pikes Peak,pike2,26.20 mi,7880',16620
"Group: Belford, Oxford, Missouri",elk head pass,14.50 mi,7500',36000
Mt. Princeton,East Slopes,6.25 mi,3200',20400
Mt. Sneffels,South Slopes,6.00 mi,2900',16200
"Group: Democrat, Cameron, Lincoln, Bross","Democrat, Cameron, Lincoln, Bross",8.20 mi,3525',18028
Quandary Peak,East Ridge,6.57 mi,3332',11009
"Group: Uncompahgre, Wetterhorn",Nellie Creek TH  Unc then Wett,18.00 mi,-,37980
La Plata Peak,Northwest Ridge,9.50 mi,4500',33240
Mt. of the Holy Cross,"Standard Up, Halo Ridge return",13.25 mi,5400',31500
Little Bear Peak,litt1,12.80 mi,6050',21600
"Group: Uncompahgre, Wetterhorn",Standard from Matterhorn Creek,18.00 mi,6200',32400
El Diente Peak,South Slopes,12.00 mi,4300',25200
Mt. Elbert,Northeast Ridge,9.00 mi,4700',13620
"Group: Grays, Torreys",Grays & Torreys,8.74 mi,-,21600
Mt. Yale,Southwest Slopes,9.50 mi,4300',20820
San Luis Peak,Northeast Ridge,13.00 mi,3686',21600
Quandary Peak,East Ridge,-,-,12900
Quandary Peak,East Ridge,6.75 mi,3450',12780
Longs Peak,Keyhole Route,14.50 mi,5100',27300
Mt. Sneffels,South Slopes,3.60 mi,2300',17400
Quandary Peak,East Ridge,6.75 mi,3450',16200
Maroon Peak,South Ridge,12.00 mi,4800',42180
Mt. Princeton,East Slopes,6.25 mi,3200',11520
Mt. Princeton,East Slopes,6.25 mi,3200',29580
"Group: Blanca, Ellingwood, Little Bear",NW Face Little Bear,7.00 mi,4000',27000
Longs Peak,Keyhole Route,14.20 mi,5259',28800
Culebra Peak,Northwest Ridge,-,-,21600
Mt. Bierstadt,West Slopes,7.25 mi,2850',14400
"Group: Harvard, Columbia",Reverse Standard,15.00 mi,6100',50400
"Group: Evans, Sawtooth, Bierstadt",BSE,-,3900',25800
La Plata Peak,Southwest Ridge,7.00 mi,3380',24600
Mt. Yale,Southwest Slopes,9.50 mi,4300',26100
Mt. Massive,Southwest Slopes,8.00 mi,3950',24900
Quandary Peak,West Ridge,3.75 mi,2650',25800
"Group: Democrat, Cameron, Lincoln, Bross",standard route,7.25 mi,3700',27000
Huron Peak,Northwest Slopes,6.75 mi,3500',24300
"Group: Democrat, Cameron, Lincoln, Bross",Standard,7.25 mi,3700',18900
Missouri Mountain,Northwest Ridge,10.50 mi,4500',32400
Mt. Princeton,East Slopes,14.30 mi,5750',15060
Longs Peak,Keyhole Route,14.00 mi,5100',32700
Pikes Peak,Northwest Slopes,13.20 mi,4300',19500
Huron Peak,Northwest Slopes,6.75 mi,3500',8580
El Diente Peak,South Slopes,12.10 mi,4300',33900
Mt. Sneffels,South Slopes,6.00 mi,2900',14400
"Group: Grays, Torreys",Standard,8.25 mi,3600',277200
Mt. Evans,West Ridge from Echo Lake,9.35 mi,3438',26700
Mt. Antero,From Browns Creek,-,3500',432000
Grays Peak,North Slopes,7.50 mi,3000',14280
Quandary Peak,East Ridge,7.00 mi,3450',20700
Torreys Peak,Kelso Ridge,7.20 mi,3000',30600
Mt. Bierstadt,East Ridge,6.00 mi,2500',25200
"Group: Evans, Sawtooth, Bierstadt","Bierstadt, Sawtooth, Evans Combo",14.50 mi,5000',41160
Mt. Democrat,East Slope,-,-,5280
Mt. Democrat,East Slope,4.00 mi,2000',19380
Mt. Yale,Southwest Slopes,9.50 mi,4300',33300
Longs Peak,Keyhole Route,-,-,45000
Quandary Peak,East Ridge,6.60 mi,3332',6726
"Group: Grays, Torreys",standard,-,3600',19800
"Group: Blanca, Ellingwood, Little Bear",Standard Little Bear & Blanca with traverse to Ellingwood,13.00 mi,7300',49800
"Group: Crestone Peak, Crestone Needle",Both standard routes from S. Colony,6.50 mi,5500',39600
"Group: Castle, Conundrum",Conundrum Coulir and Traverse,9.00 mi,4350',34200
"Group: Grays, Torreys",Dead Dog Couloir,6.50 mi,3600',23400
Maroon Peak,Bell Cord Couloir,8.00 mi,4600',35760
"Group: Harvard, Columbia",Standard with Traverse,14.00 mi,6000',37800
Missouri Mountain,Arcturus (see Roach),8.00 mi,3900',32400
North Maroon Peak,Northeast Ridge,9.20 mi,4500',30600
Capitol Peak,Northeast Ridge from Trailhead,17.00 mi,5300',36600
